,skill
0,interpret performance concepts in the creative process
1,inspect electrical supplies
2,build contacts to maintain news flow
3,display betting information
4,inspect cables
5,interact verbally in Kazakh
6,assess the life cycle of resources
7,prevent money laundering in gambling
8,prepare flower arrangements
9,manage maintenance operations
10,ensure efficient utilisation of warehouse space
11,understand written Javanese
12,yeast fermentation principles
13,approach challenges positively
14,negotiate improvement with suppliers
15,design stained glass
16,rope manipulation
17,radiation effects on human body
18,understand written Gujarati
19,handle product separation in the sugar industry
20,write horoscopes
21,design puppets
22,perform demarcation
23,hazards associated with loading dangerous goods
24,supervise biofilter systems
25,collaborate with music librarians
26,ventilation systems
27,select lacquer ingredients
28,operate GPS systems
29,perform stock valuation
30,precision engineering
31,search engines
32,assess social work students
33,conduct environmental surveys
34,plan scaffolding
35,operate stowage programmes
36,measure precise food processing operations
37,maintain animal accommodation hygienic
38,prepare specialised coffee
39,manage drilling team
40,improve customer traveling experiences with augmented reality
41,create import-export commercial documentation
42,analyse packaging requirements
43,Russian
44,advise on carbon emissions reduction
45,design materials for multimedia campaigns
46,nutrients of confectionery
47,advise customers on types of flowers
48,mount control panel components
49,handle children's problems
50,software architecture models
51,"mining, construction and civil engineering machinery products"
52,upsetting machine parts
53,data models
54,geometry
55,cut glass
56,transport dangerous goods
57,dye hair
58,plan new packaging designs
59,facilitate physical activity in the community
60,write gemstone grading report
61,assess lameness in horses
62,order vehicles
63,understand written Hungarian
64,install concrete pumps
65,asset management
66,create animal records
67,prepare coffins for cremation
68,genetic engineering
69,build a product's physical model
70,develop non-hazardous waste management strategies
71,assess character
72,types of lifts
73,roasted cacao beans
74,mobile device software frameworks
75,operate ship propulsion system
76,prepare examinations for vocational courses
77,support service users to use technological aids
78,provide fitness information
79,perform emergency street clean ups
80,crane load charts
81,translate texts
82,types of audiovisual formats
83,supply chain management
84,electronic signals intelligence
85,use glass engraving tools
86,design lighting
87,operate tumble dryer
88,check price accuracy on the shelf
89,handle financial transactions
90,install crane equipment
91,make recommendation on nutrition to public policy makers
92,distinguish fabrics
93,collaborate with stakeholders in leading community arts
94,maintain vehicle records
95,wear appropriate protective gear
96,cartography
97,footwear components
98,Azerbaijani
99,undertake clinical chiropractic research
100,conduct research on food waste prevention
101,safely instruct about fitness
102,manage payroll reports
103,electric motors
104,maintain database performance
105,train dogs
106,study website behaviour patterns
107,osteology
108,develop recycling programs
109,phonetics
110,manage IT security compliances
111,Assembly (computer programming)
112,Lisp
113,apply digital mapping
114,design information system
115,install falsework
116,work in outdoor conditions
117,treat envelopes
118,fill out forms
119,analyse clothing 3d prototypes
120,develop new welding techniques
121,decide on loan applications
122,supervise spoken language learning
123,install mining machinery
124,gather reference materials for artwork
125,undertake inspections
126,inspect construction of ships
127,provide feedback to teachers
128,work in an international environment
129,knowledge management
130,conduct customer identification
131,interact verbally in German
132,coordinate rail services
133,nuclear reprocessing
134,set up generators
135,interact verbally in Marathi
136,harvest crop
137,lacquer spray gun parts
138,design customised maps
139,supervise betting shop staff
140,drive chipper truck
141,prepare production prototypes
142,movement techniques
143,work safely with chemicals
144,attach lift motor cables
145,monitor tunnel boring machine supplies
146,waste removal regulations
147,virtual reality
148,operate surface grinder
149,offer free samples of cosmetics
150,prepare digital art for master photograph
151,cutting technologies
152,conduct security screenings
153,continuous improvement philosophies
154,investment analysis
155,provide health psychological treatment advice
156,collect property financial information
157,analyse energy consumption
158,conduct educational activities
159,assist in interior plant projects
160,medical informatics
161,understand written Spanish
162,manage ICT data architecture
163,operate dishwashing machine
164,understand spoken Croatian
165,brush the equipment
166,military logistics
167,mobility as a service
168,snap chalk line
169,history of musical instruments
170,glass coatings
171,use techniques to improve wine features
172,train gun dogs
173,develop food safety programmes
174,create incident reports
175,set up follow spots
176,tend metal polishing machine
177,clean patients' ear canals
178,observe human behaviour
179,interact verbally in Armenian
180,read palms
181,advise on fitted ventilation systems
182,attract gamers
183,record customers' personal data
184,food service operations
185,emission standards
